Software_Package,DOI,Alias
Astroblend,10.1016/j.ascom.2016.02.002,2
Astroblend,10.1016/j.ascom.2017.03.004,1
Astroblend,10.1088/1538-3873/129/975/058010,2
Astroblend,10.1088/1538-3873/129/975/058012,1
Astroblend,10.3847/0004-637X/818/2/115,2
Astropy,10.1002/asna.201512288,6
Astropy,10.1007/s10509-015-2453-x,6
Astropy,10.1007/s10509-016-2838-5,2
Astropy,10.1007/s11207-017-1193-1,2
Astropy,10.1007/s11207-018-1287-4,1
Astropy,10.1016/j.actaastro.2016.06.039,1
Astropy,10.1016/j.ascom.2013.04.002,2
Astropy,10.1016/j.ascom.2014.06.001,7
Astropy,10.1016/j.ascom.2014.10.005,8
Astropy,10.1016/j.ascom.2014.12.007,3
Astropy,10.1016/j.ascom.2015.01.007,1
Astropy,10.1016/j.ascom.2015.01.008,2
Astropy,10.1016/j.ascom.2015.01.009,7
Astropy,10.1016/j.ascom.2015.03.002,2
Astropy,10.1016/j.ascom.2015.03.007,2
Astropy,10.1016/j.ascom.2015.04.004,2
Astropy,10.1016/j.ascom.2015.05.001,4
Astropy,10.1016/j.ascom.2015.06.004,6
Astropy,10.1016/j.ascom.2015.08.002,1
Astropy,10.1016/j.ascom.2015.08.003,2
Astropy,10.1016/j.ascom.2015.10.001,2
Astropy,10.1016/j.ascom.2016.01.005,2
Astropy,10.1016/j.ascom.2016.02.003,6
Astropy,10.1016/j.ascom.2016.04.001,1
Astropy,10.1016/j.ascom.2016.11.002,2
Astropy,10.1016/j.ascom.2017.03.003,1
Astropy,10.1016/j.ascom.2017.06.004,6
Astropy,10.1016/j.ascom.2017.07.003,1
Astropy,10.1016/j.ascom.2017.08.002,1
Astropy,10.1016/j.astropartphys.2016.03.006,2
Astropy,10.1016/j.cageo.2015.09.015,6
Astropy,10.1016/j.cpc.2016.05.009,1
Astropy,10.1016/j.icarus.2016.11.029,6
Astropy,10.1016/j.icarus.2017.09.033,1
Astropy,10.1016/j.pss.2017.04.004,2
Astropy,10.1016/j.pss.2017.09.007,1
Astropy,10.1016/j.softx.2016.12.006,5
Astropy,10.1017/S1743921316012266,1
Astropy,10.1017/S1743921317001399,6
Astropy,10.1017/S1743921317003234,2
Astropy,10.1017/S174392131700477X,6
Astropy,10.1017/S1743921317006548,1
Astropy,10.1017/pasa.2016.45,1
Astropy,10.1017/pasa.2016.58,1
Astropy,10.1017/pasa.2017.34,6
Astropy,10.1017/pasa.2017.65,6
Astropy,10.1017/pasa.2018.3,6
Astropy,10.1038/nature14166,1
Astropy,10.1038/s41550-017-0228-8,4
Astropy,10.1038/s41550-018-0433-0,1
Astropy,10.1051/0004-6361/201322068,4
Astropy,10.1051/0004-6361/201424946,6
Astropy,10.1051/0004-6361/201424979,7
Astropy,10.1051/0004-6361/201425486,6
Astropy,10.1051/0004-6361/201526100,7
Astropy,10.1051/0004-6361/201527494,6
Astropy,10.1051/0004-6361/201527724,1
Astropy,10.1051/0004-6361/201628682,1
Astropy,10.1051/0004-6361/201629069,1
Astropy,10.1051/0004-6361/201629299,1
Astropy,10.1051/0004-6361/201629507,6
Astropy,10.1051/0004-6361/201629853,6
Astropy,10.1051/0004-6361/201630032,6
Astropy,10.1051/0004-6361/201730425,1
Astropy,10.1051/0004-6361/201730866,1
Astropy,10.1051/0004-6361/201730928,6
Astropy,10.1051/0004-6361/201730973,1
Astropy,10.1051/0004-6361/201731059,1
Astropy,10.1051/0004-6361/201731195,1
Astropy,10.1051/0004-6361/201731766,6
Astropy,10.1051/0004-6361/201731829,1
Astropy,10.1051/0004-6361/201731873,6
Astropy,10.1051/0004-6361/201731875,2
Astropy,10.1051/0004-6361/201732098,7
Astropy,10.1063/1.4968976,2
Astropy,10.1063/1.4969002,2
Astropy,10.1080/01431161.2017.1280639,6
Astropy,10.1086/678130,6
Astropy,10.1086/680852,1
Astropy,10.1086/684082,1
Astropy,10.1088/0004-637X/784/2/137,6
Astropy,10.1088/0004-637X/798/1/24,7
Astropy,10.1088/0004-637X/806/2/260,6
Astropy,10.1088/0004-637X/814/2/108,1
Astropy,10.1088/0004-637X/815/1/4,6
Astropy,10.1088/0004-637X/815/1/77,6
Astropy,10.1088/0067-0049/219/1/14,7
Astropy,10.1088/0143-0807/37/6/065601,2
Astropy,10.1088/1361-6382/aa68a9,1
Astropy,10.1088/1475-7516/2016/08/020,2
Astropy,10.1088/1475-7516/2017/04/049,2
Astropy,10.1088/1475-7516/2017/10/024,2
Astropy,10.1088/1475-7516/2018/03/049,1
Astropy,10.1088/1538-3873/128/969/114503,2
Astropy,10.1088/1538-3873/129/971/015001,6
Astropy,10.1088/1538-3873/129/972/024007,6
Astropy,10.1088/1538-3873/129/975/058003,6
Astropy,10.1088/1538-3873/aa5543,6
Astropy,10.1088/1538-3873/aa5785,6
Astropy,10.1088/1538-3873/aa5e49,2
Astropy,10.1088/1538-3873/aa9603,2
Astropy,10.1088/1538-3873/aa971f,1
Astropy,10.1088/1674-4527/16/11/168,6
Astropy,10.1088/1742-6596/728/3/032008,2
Astropy,10.1088/1742-6596/910/1/012051,1
Astropy,10.1088/1749-4699/8/1/014009,8
Astropy,10.1088/2041-8205/776/2/L34,4
Astropy,10.1088/2041-8205/780/1/L13,6
Astropy,10.1088/2041-8205/782/2/L17,6
Astropy,10.1088/2041-8205/783/1/L23,7
Astropy,10.1088/2041-8205/787/1/L5,6
Astropy,10.1088/2041-8205/788/2/L34,6
Astropy,10.1093/mnras/stu055,7
Astropy,10.1093/mnras/stv079,2
Astropy,10.1093/mnras/stv1374,2
Astropy,10.1093/mnras/stv1831,1
Astropy,10.1093/mnras/stv1860,2
Astropy,10.1093/mnras/stv2230,2
