Journal_Title,Software_Package,Pub_Year,File_Name
The Astronomical Journal,Astropy,2014,4
The Astronomical Journal,Astropy,2015,5
The Astronomical Journal,Astropy,2016,14
The Astronomical Journal,Astropy,2017,32
The Astronomical Journal,Astropy,2018,21
The Astronomical Journal,RADMC-3D,2010,2
The Astronomical Journal,RADMC-3D,2016,1
The Astronomical Journal,RADMC-3D,2017,3
The Astronomical Journal,RADMC-3D,2018,1
The Astronomical Journal,SAOImage DS9,1998,3
The Astronomical Journal,SAOImage DS9,2000,1
The Astronomical Journal,SAOImage DS9,2002,1
The Astronomical Journal,SAOImage DS9,2004,1
The Astronomical Journal,SAOImage DS9,2006,5
The Astronomical Journal,SAOImage DS9,2007,5
The Astronomical Journal,SAOImage DS9,2008,2
The Astronomical Journal,SAOImage DS9,2009,3
The Astronomical Journal,SAOImage DS9,2010,10
The Astronomical Journal,SAOImage DS9,2011,2
The Astronomical Journal,SAOImage DS9,2012,7
The Astronomical Journal,SAOImage DS9,2013,6
The Astronomical Journal,SAOImage DS9,2014,3
The Astronomical Journal,SAOImage DS9,2015,4
The Astronomical Journal,SAOImage DS9,2016,5
The Astronomical Journal,SAOImage DS9,2017,7
The Astronomical Journal,SAOImage DS9,2018,3
The Astronomical Journal,Spec2d,2002,1
The Astronomical Journal,Spec2d,2004,1
The Astronomical Journal,Spec2d,2005,1
The Astronomical Journal,Spec2d,2006,2
The Astronomical Journal,Spec2d,2007,1
The Astronomical Journal,Spec2d,2009,2
The Astronomical Journal,Spec2d,2010,1
The Astronomical Journal,Spec2d,2011,3
The Astronomical Journal,Spec2d,2012,2
The Astronomical Journal,Spec2d,2013,3
The Astronomical Journal,Spec2d,2014,1
The Astronomical Journal,Spec2d,2015,1
The Astronomical Journal,Spec2d,2016,3
The Astronomical Journal,Spec2d,2017,3
The Astronomical Journal,WCSTools,1998,1
The Astronomical Journal,WCSTools,1999,1
The Astronomical Journal,WCSTools,2001,3
The Astronomical Journal,WCSTools,2002,2
The Astronomical Journal,WCSTools,2003,2
The Astronomical Journal,WCSTools,2004,2
The Astronomical Journal,WCSTools,2005,2
The Astronomical Journal,WCSTools,2006,1
The Astronomical Journal,WCSTools,2007,3
The Astronomical Journal,WCSTools,2008,1
The Astronomical Journal,WCSTools,2009,1
The Astronomical Journal,WCSTools,2010,10
The Astronomical Journal,WCSTools,2011,5
